CHI	1.27	ah tu viens!
CHI	1.36	comment tu dis?
CHI	1.95	yyy yyy yyy.
CHI	1.95	yyy yyy yyy.
CHI	1.95	yyy yyy.
CHI	1.95	doudou doudou doudou!
CHI	1.95	yyy yyy yyy yyy yyy yyy.
CHI	1.95	yyy yyy yyy.
CHI	1.95	yyy yyy.
CHI	1.95	yyy yyy.
CHI	1.95	maman maman maman maman maman!
CHI	1.95	doudou doudou.
CHI	1.95	doudou doudou!
CHI	1.95	attends attends!
CHI	1.95	yyy yyy.
CHI	1.95	yyy yyy yyy.
CHI	1.95	yyy yyy yyy yyy yyy.
CHI	1.95	yyy yyy yyy.
CHI	1.95	yyy yyy yyy yyy yyy yyy yyy.
CHI	1.95	yyy yyy yyy.
CHI	1.95	yyy yyy.
CHI	1.95	yyy yyy.
CHI	1.95	doudou doudou!
CHI	1.95	yyy yyy yyy yyy.
CHI	1.95	yyy yyy yyy yyy.
CHI	1.95	yyy yyy yyy yyy.
CHI	1.95	yyy yyy.
CHI	1.95	yyy yyy.
CHI	1.95	yyy yyy yyy yyy.
CHI	1.95	yyy yyy yyy yyy.
CHI	1.95	yyy yyy.
CHI	1.95	yyy yyy yyy.
CHI	1.95	yyy yyy.
CHI	1.95	yyy yyy.
CHI	1.95	yyy yyy.
CHI	1.95	yyy yyy.
CHI	2.04	hi han!
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy lego!
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy yyy yyy yyy.
CHI	2.04	yyy yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy.
CHI	2.04	yyy yyy yyy yyy yyy yyy.
CHI	2.11	non non.
CHI	2.11	yyy yyy.
CHI	2.11	yyy yyy.
CHI	2.11	bateau bateau!
CHI	2.11	non non!
CHI	2.11	non non!
CHI	2.11	yyy yyy.
CHI	2.11	yyy yyy.
CHI	2.11	yyy yyy.
CHI	2.11	yyy yyy yyy.
CHI	2.11	yyy yyy.
CHI	2.11	yyy yyy yyy yyy.
CHI	2.11	veux boire!
