id_text;document;sent_id;sentence;mdd_phrase_mdd_sentence;mdd_phrase_mhd_sentence
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;0;des éléphants des singes.;2.2;1.4
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;1;des zèbres. des serpents.;2.2;1.4
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;2;oui il il marche dans l'eau.;2.2857142857142856;1.2857142857142858
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;3;euh non c'est une maman éléphant.;2.142857142857143;1.1428571428571428
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;4;des flamands.;1.0;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;5;elle va là.;1.3333333333333333;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;6;xxx des zèbres.;2.5;1.5
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;7;c'est maman qui l'a acheté.;2.5714285714285716;1.4285714285714286
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;8;quand elle a été au magasin et et elle l'a acheté pour moi.;3.4;1.6666666666666667
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;9;non c'est c'est Raymond et Béa.;2.625;1.125
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;10;très très gentil.;1.0;1.3333333333333333
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;11;parce que.;1.5;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;12;non c'est pas facile.;2.2;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;13;non c'est pas dur.;2.2;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;14;/rienregarde/ l'autre il est très dur.;2.3333333333333335;1.6666666666666667
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;15;oui le grand.;2.0;1.3333333333333333
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;16;/mais même/ si il est gros.;4.5;1.75
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;17;non pas.;1.5;1.5
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;18;des faciles et c'est pas facile.;3.142857142857143;1.5714285714285714
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;19;après je vais le refaire.;1.8;1.2
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;20;oui oui.;1.5;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;21;c'est très simple on fait comme ça.;2.125;1.5
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;22;on fait on casse ça.;1.8;1.4
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;23;attends je vais te montrer.;2.2;1.8
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;24;après je vais faire tchic.;1.6;1.2
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;25;après je vais le casser.;1.8;1.2
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;26;il est vert.;1.3333333333333333;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;27;un crocodile.;1.0;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;28;/très très /.;1.5;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;29;cro- crocodile.;1.0;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;30;des oiseaux.;1.0;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;31;si j'ai tout enlevé c'est comme ça après.;2.3;1.4
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;32;et prends. avec les mains.;2.6666666666666665;1.5
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;33;j'ai enlevé comme ça. mais on met. oui là.;2.6666666666666665;1.75
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;34;celui là il est très dur.;2.1666666666666665;1.1666666666666667
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;35;mh oui.;1.5;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;36;non c'est dans la boite ça.;2.5714285714285716;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;37;faut faire le puzzle dans les dans la boite.;3.3333333333333335;2.3333333333333335
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;38;oui dans la boîte.;2.5;1.5
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;39;oui pas comme ça.;2.25;1.25
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;40;non c'est pas ce que je fais.;2.5;1.25
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;41;du zèbre.;1.3333333333333333;1.0
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;42;du zèbre. et ça c'est comme ça.;3.9;1.6
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;43;hum bah. euh Ludovic.;2.8;1.2
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;44;il fait des bêtises.;1.75;1.25
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;45;il tire la langue.;1.75;1.25
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;46;à moi aussi. non *. je tire pas la langue j- je m'essuie ça.;2.764705882352941;1.588235294117647
0;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.25.txt;47;ouh rra.;1.5;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;0;mais maintenant maintenant on regarde.;2.2;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;1;mais tu as dit après.;1.8;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;2;oui après le livre?. ou après le quand j'ai fini de raconter.;2.769230769230769;1.6153846153846154
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;3;on on met. le la le mercredi Tchoupi.;2.5555555555555554;1.4444444444444444
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;4;Tchoupi joue avec Doudou.;1.75;1.25
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;5;je vais boire d- ah oui ma carte là.;2.5555555555555554;2.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;6;je veux boire de l'eau xxx.;2.142857142857143;2.142857142857143
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;7;là là là il.;2.5;1.75
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;8;il est il va xxx.;1.8;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;9;regarde sur la fenêtre. par la fenêtre.;3.375;1.625
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;10;là il regarde sur là il fait quoi?. il regarde sur le miroir.;2.5384615384615383;2.076923076923077
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;11;Doudou il saute et et Doudou et Tchoupi sautent sautent sautent tapis.;4.333333333333333;1.75
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;12;ouais c'est le mercredi.;2.2;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;13;il est là.;1.3333333333333333;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;14;le Tchoupi il est où?.;1.25;2.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;15;ben non il est où?.;2.5;1.75
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;16;mm mm. maintenant font tous la course.;2.142857142857143;1.4285714285714286
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;17;Tchoupi il est pas là?.;2.2;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;18;sa maman.;1.0;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;19;xxx ils courent courent courent courent courent.;1.1428571428571428;2.4285714285714284
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;20;courent courent courent courent.;1.75;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;21;courent courent courent courent courent.;1.0;2.2
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;22;si il a gagné Tchoupi.;1.8;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;23;mm là il est jamais Tchoupi là.;2.142857142857143;1.1428571428571428
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;24;jamais sur les images.;1.75;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;25;ils mangent.;1.0;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;26;bébé il fait quoi bébé?. un gâteau.;2.2857142857142856;1.1428571428571428
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;27;Tchoupi il est jamais sur les images.;2.2857142857142856;1.2857142857142858
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;28;ben non il est pas là.;2.6666666666666665;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;29;ben non.;1.5;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;30;je veux beaucoup beaucoup beaucoup.;2.2;1.2
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;31;oui beaucoup.;1.5;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;32;beaucoup *. oui jusqu'au goû-.;2.1666666666666665;1.5
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;33;ben ils jouent.;1.3333333333333333;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;34;avec le chat le chien et Doudou.;2.0;1.5714285714285714
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;35;Doudou il court dans les carottes.;2.1666666666666665;1.3333333333333333
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;36;* c'est pas bien.;2.2;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;37;parce que on n'a pas le droit.;2.125;1.25
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;38;et voilà.;1.0;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;39;c'est sais pas.;1.5;1.0
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;40;hum Lilou. et on regarde.;2.8333333333333335;1.6666666666666667
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;41;oui en bas. et on y va xxx.;3.2222222222222223;1.6666666666666667
1;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Adrien_3.44.txt;42;on regarde en bas.;1.5;1.25
2;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Akoub_6.06.txt;0;* pas le faire hein et ça.;2.142857142857143;1.1428571428571428
2;/Users/cp/brainstorm/evalang/evalang-public/tcof/rawtextchi/long/chi_Akoub_6.06.txt;1;tu cherches.;1.0;1.0
