"filename" "sentence" "value"
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.47" "chi_Alexandre_6.86{CP}.txt" "allez maintenant c'est plus toi !" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.50" "chi_Alexandre_6.86{CP}.txt" "mais hein@o!
ah@o pouh@o.
bon allez!
xxx non!
moi je.
mais c'est ce soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.52" "chi_Alexandre_6.86{CP}.txt" "bah oui c'est ce soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.53" "chi_Alexandre_6.86{CP}.txt" "c'est vrai y en a pas le!
y en a pas l'après midi!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.66" "chi_Alexandre_6.86{CP}.txt" "maintenant on rentre on cherche à manger on mange tout.
et après on part." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.70" "chi_Alexandre_6.86{CP}.txt" "ah@o c'est bon on est mardi." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.71" "chi_Alexandre_6.86{CP}.txt" "non on est l lundi." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.84" "chi_Alexandre_6.86{CP}.txt" "non les devoirs c'est ce soir!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.88" "chi_Alexandre_6.86{CP}.txt" "maintenant on peut aller faire une sieste." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.106" "chi_Alexandre_6.86{CP}.txt" "on disait que là là c'était mardi." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.107" "chi_Alexandre_6.86{CP}.txt" "ah ce soir c'est Noël!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.111" "chi_Alexandre_6.86{CP}.txt" "non on est mardi!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.124" "chi_Alexandre_6.86{CP}.txt" "oh@o maintenant moi moi je reviens par la fenêtre." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.130" "chi_Alexandre_6.86{CP}.txt" "t'as compris maintenant?" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.135" "chi_Alexandre_6.86{CP}.txt" "allez c'est le soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.136" "chi_Alexandre_6.86{CP}.txt" "on y va!
pour ce soir." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexandre_6.86.CP..txt.139" "chi_Alexandre_6.86{CP}.txt" "voilà c'est le soir!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Alexis_7.03.CP..txt.29" "chi_Alexis_7.03{CP}.txt" "toc@i euh@i voilà.
et maintenant tu peux aller te promener." 1
