[1] "tu peux nous dire comment elle s'ouvre?\nregarde regarde!|pluriels_phrase_nombre_pluriels_sentence|1|1|37"
[1] "tu peux nous dire comment elle s'ouvre?\nregarde regarde!|dependances_syntaxiques_phrase_nombre_moyen_dependances_sentence|0.8181818182|0.8|0.9722222222"
[1] "tu peux nous dire comment elle s'ouvre?\nregarde regarde!|dependances_syntaxiques_phrase_point_distance_moyenne_sentence|0.8181818182|0.6666666667|2.0252029221"
[1] "tu peux nous dire comment elle s'ouvre?\nregarde regarde!|pronoms_phrase_proportion_pronoms_personnels_pluriels_sentence|0.1|0|0.6666666667"
[1] "tu peux nous dire comment elle s'ouvre?\nregarde regarde!|structures_syntaxiques_phrase_nombre_subordonnees_completives_sentence|2|0|9"
[1] "tu peux nous dire comment elle s'ouvre?\nregarde regarde!|structures_syntaxiques_phrase_proportion_subordonnees_completives_sentence|2|0|9"
[1] "tu peux nous dire comment elle s'ouvre?\nregarde regarde!|pronoms_phrase_repartition_pronoms_personnels_pluriels_sentence|0.3333333333|0|1"
[1] "tu peux nous dire comment elle s'ouvre?\nregarde regarde!|flexions_verbales_phrase_diversite_systemes_temps_sentence|1|1|3"
[1] "tu peux nous dire comment elle s'ouvre?\nregarde regarde!|pronoms_phrase_repartition_pronoms_personnels_1e_personne_sentence|0.25|0.25|1"
[1] "tu peux nous dire comment elle s'ouvre?\nregarde regarde!|pronoms_phrase_proportion_pronoms_personnels_1e_personne_sentence|0.1|0.05|1"
[1] "alors euh c'est moi qui dis hein euh qui dis.|parties_du_discours_phrase_proportion_INTJ_sentence|0.1818181818|0.0769230769|1"
[1] "alors euh c'est moi qui dis hein euh qui dis.|connecteurs_organisateurs_phrase_nombre_connecteurs_temporels_sentence|1|0|5"
[1] "alors euh c'est moi qui dis hein euh qui dis.|connecteurs_organisateurs_phrase_proportion_connecteurs_temporels_sentence|1|0|5"
[1] "alors euh c'est moi qui dis hein euh qui dis.|graphie_phrase_variance_longueur_mots_sentence|10.0796393689|8.775|62.8081920599"
[1] "alors euh c'est moi qui dis hein euh qui dis.|pronoms_phrase_nombre_pronoms_indefinis_sentence|2|2|18"
[1] "alors euh c'est moi qui dis hein euh qui dis.|dependances_syntaxiques_phrase_nombre_moyen_dependances_sentence|0.8333333333|0.8|0.9722222222"
[1] "alors euh c'est moi qui dis hein euh qui dis.|flexions_verbales_phrase_diversite_systemes_temps_sentence|1|1|3"
[1] "alors euh c'est moi qui dis hein euh qui dis.|pronoms_phrase_repartition_pronoms_personnels_1e_personne_sentence|1|0.25|1"
[1] "alors euh c'est moi qui dis hein euh qui dis.|pronoms_phrase_proportion_pronoms_personnels_1e_personne_sentence|0.0909090909|0.05|1"
[1] "je vais sortir.|structures_syntaxiques_phrase_nombre_subordonnees_completives_sentence|1|0|9"
[1] "je vais sortir.|structures_syntaxiques_phrase_proportion_subordonnees_completives_sentence|1|0|9"
[1] "je vais sortir.|flexions_verbales_phrase_diversite_systemes_temps_sentence|1|1|3"
[1] "je vais sortir.|pronoms_phrase_repartition_pronoms_personnels_1e_personne_sentence|1|0.25|1"
[1] "je vais sortir.|pronoms_phrase_proportion_pronoms_personnels_1e_personne_sentence|0.3333333333|0.05|1"
[1] "oui on va réinstaller d'accord.|parties_du_discours_phrase_proportion_INTJ_sentence|0.1666666667|0.0769230769|1"
[1] "oui on va réinstaller d'accord.|structures_syntaxiques_phrase_nombre_subordonnees_completives_sentence|1|0|9"
[1] "oui on va réinstaller d'accord.|structures_syntaxiques_phrase_proportion_subordonnees_completives_sentence|1|0|9"
[1] "oui on va réinstaller d'accord.|flexions_verbales_phrase_diversite_systemes_temps_sentence|1|1|3"
[1] "oui on va réinstaller d'accord.|emotions_phrase_score_de_subjectitvite_sentence|0.01|0.01|1"
[1] "oui on va réinstaller d'accord.|emotions_phrase_score_de_polarite_sentence|0.01|0.01|1"
[1] "euh alors mettre comme ça.|parties_du_discours_phrase_proportion_INTJ_sentence|0.2|0.0769230769|1"
[1] "euh alors mettre comme ça.|connecteurs_organisateurs_phrase_nombre_connecteurs_temporels_sentence|1|0|5"
[1] "euh alors mettre comme ça.|connecteurs_organisateurs_phrase_proportion_connecteurs_temporels_sentence|1|0|5"
[1] "euh alors mettre comme ça.|parties_du_discours_phrase_proportion_ADV_sentence|0.2|0.1875|1"
[1] "euh alors mettre comme ça.|flexions_verbales_phrase_diversite_systemes_temps_sentence|1|1|3"
[1] "alors toi tu installes la poussette là dans le coin là.|connecteurs_organisateurs_phrase_nombre_connecteurs_temporels_sentence|1|0|5"
[1] "alors toi tu installes la poussette là dans le coin là.|connecteurs_organisateurs_phrase_proportion_connecteurs_temporels_sentence|1|0|5"
[1] "alors toi tu installes la poussette là dans le coin là.|graphie_phrase_variance_longueur_mots_sentence|9.5454545455|8.775|62.8081920599"
[1] "alors toi tu installes la poussette là dans le coin là.|dependances_syntaxiques_phrase_nombre_moyen_dependances_sentence|0.8333333333|0.8|0.9722222222"
[1] "alors toi tu installes la poussette là dans le coin là.|parties_du_discours_phrase_proportion_ADV_sentence|0.2727272727|0.1875|1"
[1] "alors toi tu installes la poussette là dans le coin là.|flexions_verbales_phrase_diversite_systemes_temps_sentence|1|1|3"
[1] "oui pour dire euh c'est la chambre des bébés.|pluriels_phrase_nombre_pluriels_sentence|2|1|37"
[1] "oui pour dire euh c'est la chambre des bébés.|parties_du_discours_phrase_proportion_INTJ_sentence|0.1818181818|0.0769230769|1"
[1] "oui pour dire euh c'est la chambre des bébés.|graphie_phrase_variance_longueur_mots_sentence|9.9151014275|8.775|62.8081920599"
[1] "oui pour dire euh c'est la chambre des bébés.|pluriels_phrase_proportion_pluriels_sentence|0.1818181818|0.1428571429|1"
[1] "oui pour dire euh c'est la chambre des bébés.|flexions_verbales_phrase_diversite_systemes_temps_sentence|1|1|3"
[1] "oui pour dire euh c'est la chambre des bébés.|emotions_phrase_score_de_subjectitvite_sentence|0.01|0.01|1"
[1] "oui pour dire euh c'est la chambre des bébés.|emotions_phrase_score_de_polarite_sentence|0.01|0.01|1"
[1] "on veut peut être plutôt échanger avec là là.|pronoms_phrase_nombre_pronoms_indefinis_sentence|2|2|18"
[1] "on veut peut être plutôt échanger avec là là.|dependances_syntaxiques_phrase_nombre_moyen_dependances_sentence|0.8|0.8|0.9722222222"
[1] "on veut peut être plutôt échanger avec là là.|dependances_syntaxiques_phrase_point_distance_moyenne_sentence|0.7|0.6666666667|2.0252029221"
[1] "on veut peut être plutôt échanger avec là là.|structures_syntaxiques_phrase_nombre_subordonnees_completives_sentence|2|0|9"
[1] "on veut peut être plutôt échanger avec là là.|structures_syntaxiques_phrase_proportion_subordonnees_completives_sentence|2|0|9"
[1] "on veut peut être plutôt échanger avec là là.|parties_du_discours_phrase_proportion_ADV_sentence|0.3333333333|0.1875|1"
[1] "on veut peut être plutôt échanger avec là là.|flexions_verbales_phrase_diversite_systemes_temps_sentence|1|1|3"
[1] "parce que là y a pl- ça fait plus de chambre de bébé.|parties_du_discours_phrase_proportion_SCONJ_sentence|0.0769230769|0|1"
[1] "parce que là y a pl- ça fait plus de chambre de bébé.|connecteurs_organisateurs_phrase_nombre_explicatifs_et_justificatifs_sentence|1|0|5"
[1] "parce que là y a pl- ça fait plus de chambre de bébé.|connecteurs_organisateurs_phrase_proportion_explicatifs_et_justificatifs_sentence|1|0|5"
[1] "parce que là y a pl- ça fait plus de chambre de bébé.|graphie_phrase_variance_longueur_mots_sentence|12.271734183|8.775|62.8081920599"
[1] "parce que là y a pl- ça fait plus de chambre de bébé.|dependances_syntaxiques_phrase_nombre_moyen_dependances_sentence|0.8571428571|0.8|0.9722222222"
[1] "parce que là y a pl- ça fait plus de chambre de bébé.|parties_du_discours_phrase_proportion_ADV_sentence|0.3076923077|0.1875|1"
[1] "parce que là y a pl- ça fait plus de chambre de bébé.|flexions_verbales_phrase_diversite_systemes_temps_sentence|1|1|3"
[1] "parce que là y a pl- ça fait plus de chambre de bébé.|emotions_phrase_score_de_subjectitvite_sentence|0.15|0.01|1"
[1] "parce que là y a pl- ça fait plus de chambre de bébé.|emotions_phrase_score_de_polarite_sentence|0.15|0.01|1"
[1] "ben je trouve.|flexions_verbales_phrase_diversite_systemes_temps_sentence|1|1|3"
[1] "ben je trouve.|pronoms_phrase_repartition_pronoms_personnels_1e_personne_sentence|1|0.25|1"
[1] "ben je trouve.|pronoms_phrase_proportion_pronoms_personnels_1e_personne_sentence|0.3333333333|0.05|1"
[1] "parce que les là les trucs qui pendent.|pluriels_phrase_nombre_pluriels_sentence|4|1|37"
[1] "parce que les là les trucs qui pendent.|parties_du_discours_phrase_proportion_SCONJ_sentence|0.125|0|1"
[1] "parce que les là les trucs qui pendent.|connecteurs_organisateurs_phrase_nombre_explicatifs_et_justificatifs_sentence|1|0|5"
[1] "parce que les là les trucs qui pendent.|connecteurs_organisateurs_phrase_proportion_explicatifs_et_justificatifs_sentence|1|0|5"
[1] "parce que les là les trucs qui pendent.|pluriels_phrase_proportion_pluriels_sentence|0.5|0.1428571429|1"
[1] "parce que les là les trucs qui pendent.|flexions_verbales_phrase_proportion_flexions_pluriel_sentence|100|0|100"
