,sent_id,sentence,Proportion1erePersonne,Proportion2emePersonne,Proportion3emePersonne,ProportionSingulier,ProportionPluriel
56,56,ah nan c'est un four !,50.0,50.0,0.0,50.0,50.0
57,57,avec un four voilà .,50.0,50.0,0.0,50.0,50.0
58,58,c'est un four regarde la plaque là haut où on met dedans le charbon .,50.0,50.0,0.0,50.0,50.0
59,59,alors vas-y mets-le dans la cuisine comme ça je vais mettre la casserole ensuite .,50.0,50.0,0.0,50.0,50.0
60,60,tu mets la casserole toi ?,50.0,50.0,0.0,50.0,50.0
61,61,nan nan tu la mets dans la cheminée mets-le là !,50.0,50.0,0.0,50.0,50.0
62,62,allez hop .,50.0,50.0,0.0,50.0,50.0
63,63,Voilà .,50.0,50.0,0.0,50.0,50.0
64,64,ça prend forme .,50.0,50.0,0.0,50.0,50.0
65,65,ça c'est quoi ?,50.0,50.0,0.0,50.0,50.0
66,66,^ c'est pour la chaise haute ?,50.0,50.0,0.0,50.0,50.0
67,67,"allez un chacun ...
c'est un cartable .
ah d'accord !",50.0,50.0,0.0,50.0,50.0
68,68,t'es chiant Tito /.,50.0,50.0,0.0,50.0,50.0
69,69,"c'est un cartable ...
à chaque fois tu gueules .",50.0,50.0,0.0,50.0,50.0
70,70,on va le mettre là sur le lit Ah nan ça ça va pas .,50.0,50.0,0.0,50.0,50.0
71,71,"il miaule il en a il quand il en a marre il miaule ...
tiens on va mettre sur le lit le cartable hop .
ah ça tient pas .",50.0,50.0,0.0,50.0,50.0
72,72,après c'est un peu énervant !,50.0,50.0,0.0,50.0,50.0
73,73,"alors t'as mis le chat là-bas .
^ voilà .",50.0,50.0,0.0,50.0,50.0
74,74,mais nan c'est pas enervant .,50.0,50.0,0.0,50.0,50.0
75,75,le petit nounours pour la petite euh fille qui va euh promener son petit nounours .,50.0,50.0,0.0,50.0,50.0
76,76,"^ ah là c'est le panier pour le chat .
tiens regarde il a un poi un panier pour le chat on va mettre les deux chats là-dedans .",50.0,50.0,0.0,50.0,50.0
77,77,"un cartable .
xxx on le met ici ?",50.0,50.0,0.0,50.0,50.0
78,78,un cartable .,50.0,50.0,0.0,50.0,50.0
79,79,et ça ?,50.0,50.0,0.0,50.0,50.0
80,80,"ça ça va pour la cheminée .
ah regarde !",50.0,50.0,0.0,50.0,50.0
81,81,"^ oh j'ai complétement oublié ...
ah oui c'est la chaudière !",50.0,50.0,0.0,50.0,50.0
82,82,euh ffff@o nan à mon avis tu vois c'est pour faire le manger là t'as le four là pour mettre la casserole et puis là les odeurs elles vont de l'autre côté .,50.0,50.0,0.0,50.0,50.0
83,83,"nan c'est en dessous ...
ah ouais .",50.0,50.0,0.0,50.0,50.0
84,84,"tiens mets-le là mets-le à la cuisine chéri .
voilà .",50.0,50.0,0.0,50.0,50.0
85,85,"ça c'est ce qu'il y avait dans les maisons avant .
voilà .",50.0,50.0,0.0,50.0,50.0
86,86,non non bah c'est pas grave on on fait comme s'il allait à l'extérieur quoi tu vois ?,50.0,50.0,0.0,50.0,50.0
87,87,^ tiens mets la casserole dessus sinon on peut pas faire le manger pour la fin .,50.0,50.0,0.0,50.0,50.0
88,88,"le café .
voilà .",50.0,50.0,0.0,50.0,50.0
89,89,Comme ça c'est bien ?,50.0,50.0,0.0,50.0,50.0
90,90,"^ vas-y mets la casserole dessus .
oh bah la ptite fille elle va avec ...
qu'est-ce qu'on fait on amène euh ...
la petite fille ...
la grande euh à l'école ?",50.0,50.0,0.0,50.0,50.0
91,91,"euh je promène les petits ...
non le papa il promène les petits enfants la maman elle ramène /.",50.0,50.0,0.0,50.0,50.0
92,92,"on va ramener regarde on va ramener avec le papa et la maman on va ramener la grande fille à l'école comme ça ça fait la promenade pour les bébés .
allez .
tiens bébé !",50.0,50.0,0.0,50.0,50.0
93,93,C'est toi qui pousse la poussette ?,50.0,50.0,0.0,50.0,50.0
94,94,samuel ?,50.0,50.0,0.0,50.0,50.0
95,95,ben toi xxx je fais semblant qu'elle qu'elle va à l'école /.,50.0,50.0,0.0,50.0,50.0
96,96,attends on va d'abord préparer le petit déjeuner avant d'aller à l'école .,50.0,50.0,0.0,50.0,50.0
97,97,"regarde il y a une tasse il y a l'eau qui qui le lait qui chauffe pour le Nesquick .
alors on va se réunir allez hop hop .",50.0,50.0,0.0,50.0,50.0
98,98,"C'est ...
allez prends la grande fille donne-lui son petit dej .
mais xxx .
ouais ...
la maman elle va aller aussi boire son café le papa aussi .
xxx oh c'est chiant ça !",50.0,50.0,0.0,50.0,50.0
99,99,chut@o !,50.0,50.0,0.0,50.0,50.0
100,100,"voilà .
xxx fait .
alors ils boivent le café ...
allez vite c'est l'heure d'aller à l'école !",50.0,50.0,0.0,50.0,50.0
101,101,"elle elle mange des céréales allez c'est l'heure d'aller à l'école le papa il va pousser la pousette ...
on peut commencer !",50.0,50.0,0.0,50.0,50.0
102,102,alors le papa il va pousser la pousette et le papa il va tenir la main à sa petite fille .,50.0,50.0,0.0,50.0,50.0
103,103,faut dire qu'on peut commencer ?,50.0,50.0,0.0,50.0,50.0
104,104,allez on y va on va à l'école ?,50.0,50.0,0.0,50.0,50.0
105,105,Allez c'est parti ?,50.0,50.0,0.0,50.0,50.0
106,106,oui mais la caméra elle est pas en route !,50.0,50.0,0.0,50.0,50.0
107,107,je sais pas ?,50.0,50.0,0.0,50.0,50.0
108,108,si elle est en route .,50.0,50.0,0.0,50.0,50.0
109,109,si elle est en route quoi ?,50.0,50.0,0.0,50.0,50.0
110,110,si elle est en route !,50.0,50.0,0.0,50.0,50.0
111,111,ah !,50.0,50.0,0.0,50.0,50.0
112,112,allez on va à l'école !,50.0,50.0,0.0,50.0,50.0
113,113,allez moi je pousse les bébés et toi tu tiens la main à la petite fille pour qu'on aille à l'école .,50.0,50.0,0.0,50.0,50.0
114,114,"Alors ...
ah !",50.0,50.0,0.0,50.0,50.0
115,115,on est arrivés ?,50.0,50.0,0.0,50.0,50.0
116,116,"mmmh .
oui ..?
allez assis !",50.0,50.0,0.0,50.0,50.0
117,117,"allez la ma ...
qu'est-ce qu'elle fait la petite fille ?",50.0,50.0,0.0,50.0,50.0
118,118,elle fait un bisous à sa maman .,50.0,50.0,0.0,50.0,50.0
119,119,"un bisous à son papa aussi .
bonne journée travaille bien à l'école !",50.0,50.0,0.0,50.0,50.0
120,120,"a tout à l'heure on revien te chercher pour le repas !
xxx mais j'arrive pas à ...
Hop@o !",50.0,50.0,0.0,50.0,50.0
121,121,"voilà tu la mets à l'école on va dire que l'école c'est là-bas .
voilà .",50.0,50.0,0.0,50.0,50.0
122,122,"Après nous qu'est-ce qu'on fait ?
position couchée .",50.0,50.0,0.0,50.0,50.0
123,123,"mets-là debout .
ou sinon on va lui trouver eum ...
c'est pas grave on va on va aller à l'école et puis qu'est-ce qu'on fait Samuel ?",50.0,50.0,0.0,50.0,50.0
124,124,on va rentrer ?,50.0,50.0,0.0,50.0,50.0
125,125,alors tu tu prends le garçon et nous on rentre à la maison .,50.0,50.0,0.0,50.0,50.0
126,126,"on va aller coucher les bébés ..?
ouais .
dans leur lit ?",50.0,50.0,0.0,50.0,50.0
127,127,allez vas-y .,50.0,50.0,0.0,50.0,50.0
128,128,"il y a un bébé qui va dans le lit ...
là .
oh mais chat pouruquoi t'es tombé !
ouh là tu as vu il y en a beaucoup des chats hein !",50.0,50.0,0.0,50.0,50.0
129,129,il y en a deux dans le panier un en haut !,50.0,50.0,0.0,50.0,50.0
130,130,deux en haut !,50.0,50.0,0.0,50.0,50.0
131,131,y en a un qui est tombé du ciel !,50.0,50.0,0.0,50.0,50.0
132,132,ah ouais .,50.0,50.0,0.0,50.0,50.0
133,133,"allez celui-là on va le mettre dans le dodo là .
regarde nickel le dodo pour le bébé !",50.0,50.0,0.0,50.0,50.0
134,134,eh mais il y a un chat qui est tombé !,50.0,50.0,0.0,50.0,50.0
135,135,"nan je l'ai mis là .
un deux trois quatre .
ah ouais mais regarde ...
on va lui mettre la couverture il va faire la sieste ...
un deux trois quatre cinq wahou y en a un deux trois quatre cinq euh ...
alors qu'est-ce qu'on fait maintenant ?",50.0,50.0,0.0,50.0,50.0
136,136,"Après avoir fait le le le petit dej et amené la grande à l'école il faut ..?
bah /.",50.0,50.0,0.0,50.0,50.0
137,137,commencer à faire le manger .,50.0,50.0,0.0,50.0,50.0
138,138,bah il est déjà fait !,50.0,50.0,0.0,50.0,50.0
139,139,"il est déjà fait nan ça c'était le petit dej .
allez tchictchic@o allez j'ai fait ...
voilà le papa il prépare le manger la maman avec /.",50.0,50.0,0.0,50.0,50.0
140,140,ça y est j'ai fait le mager .,50.0,50.0,0.0,50.0,50.0
141,141,t'as fait le manger ?,50.0,50.0,0.0,50.0,50.0
142,142,"oui .
allez on on xxx ...
on va chercher la grande à l'école alors ?",50.0,50.0,0.0,50.0,50.0
143,143,ouais je vais la chercher toi tu reste ici le temps de préparer la dinde /.,50.0,50.0,0.0,50.0,50.0
144,144,"je reste avec les bébés alors .
parce qu'ils vont pleurer tu vas même pas les entendre .
oh bah ouais après il vont pleurer !",50.0,50.0,0.0,50.0,50.0
145,145,oh !,50.0,50.0,0.0,50.0,50.0
146,146,bah justement ils se mettent à pleurer je vais aller les chercher !,50.0,50.0,0.0,50.0,50.0
147,147,"oh le bébé il pleure .
allez c'est l'heure d'aller au lit !",50.0,50.0,0.0,50.0,50.0
148,148,"bah nan on va manger elle rentre de l'école .
xxx c'est l'heure de manger .
toi quand tu rentres de l'école tu vas au dodo ?",50.0,50.0,0.0,50.0,50.0
149,149,"ouais .
oh bah non !",50.0,50.0,0.0,50.0,50.0
150,150,allez j'enlève mon sac je vais plus à l'école !,50.0,50.0,0.0,50.0,50.0
151,151,alors q'est-ce qu'elle demande q'est-ce qu'il demande le papa ?,50.0,50.0,0.0,50.0,50.0
152,152,^ comment c'était l'école ?,50.0,50.0,0.0,50.0,50.0
153,153,ça va .,50.0,50.0,0.0,50.0,50.0
154,154,t'as bien travaillé ?,50.0,50.0,0.0,50.0,50.0
155,155,"ouii parce qu'on n'a rien fait .
oh !",50.0,50.0,0.0,50.0,50.0
156,156,t'as fait combien d'éval aujourd'hui ?,50.0,50.0,0.0,50.0,50.0
157,157,"une .
une .
trois même !",50.0,50.0,0.0,50.0,50.0
158,158,trois !,50.0,50.0,0.0,50.0,50.0
159,159,et ça s'est bien passé ?,50.0,50.0,0.0,50.0,50.0
160,160,"ouais .
alors on n'a qu'une seule table haute alors on va mettre un bébé et puis il ...
l'autre il va aller sur une grande table !",50.0,50.0,0.0,50.0,50.0
161,161,"et puis il rentre pas le bébé .
ah nan vas-y il rentre ...
nan mais il rentre pas .
a@o Il est gros il mange trop de légumes !",50.0,50.0,0.0,50.0,50.0
162,162,on va le prendre dans les bras pour lui donner le bibi .,50.0,50.0,0.0,50.0,50.0
163,163,le bibi !,50.0,50.0,0.0,50.0,50.0
164,164,xxx regarde il est là le bibi !,50.0,50.0,0.0,50.0,50.0
165,165,un biberon pas le bibi !,50.0,50.0,0.0,50.0,50.0
166,166,tiens c'est toi qui donne le bibi .,50.0,50.0,0.0,50.0,50.0
167,167,"allez reste debout sur ta chaise .
xxx .
ahou@o il est tombé !",50.0,50.0,0.0,50.0,50.0
168,168,xxx Ahou@o !,50.0,50.0,0.0,50.0,50.0
169,169,"il a fait une roulade avant ...
voilà !",50.0,50.0,0.0,50.0,50.0
170,170,"mais c'est xxx ...
tiens on va le prendre comme ça .",50.0,50.0,0.0,50.0,50.0
171,171,"voilà .
regarde la maman elle le prend dans les bras c'est plus facile .
regarde oh il voulait un câlin de la maman /.",50.0,50.0,0.0,50.0,50.0
172,172,voilà !,50.0,50.0,0.0,50.0,50.0
173,173,"voilà t'as réussi .
ah maintenant le deuxième bibi .
allez !",50.0,50.0,0.0,50.0,50.0
174,174,merci !,50.0,50.0,0.0,50.0,50.0
175,175,allez tout le monde à table on va manger !,50.0,50.0,0.0,50.0,50.0
176,176,"qu'es-ce que tu as préparé de bon maman papa ?
des épinards ...
ah des epinards c'est bon ça les épinards !",50.0,50.0,0.0,50.0,50.0
177,177,"avec de la soupe carbonara .
de la soupe carbonara ?",50.0,50.0,0.0,50.0,50.0
178,178,mais qu'est-ce que c'est ?,50.0,50.0,0.0,50.0,50.0
179,179,"nan .
de la sauce carbonara ?",50.0,50.0,0.0,50.0,50.0
180,180,"ouais .
et puis quoi aussi ?",50.0,50.0,0.0,50.0,50.0
181,181,"bah des pâtes .
ah bah oui des pâtes à la carbonara .
allez tiens !",50.0,50.0,0.0,50.0,50.0
182,182,Euh mange mange mange et mange et mange !,50.0,50.0,0.0,50.0,50.0
183,183,oh bah dis donc c'est très bon ce que tu nous a préparé !,50.0,50.0,0.0,50.0,50.0
184,184,allez on donne aux chats aussi !,50.0,50.0,0.0,50.0,50.0
185,185,"mange mange mange mange ...
voilà !
et comme ça tout le monde mange !",50.0,50.0,0.0,50.0,50.0
186,186,"Voilà .
la petite fille elle rentre à l'école .",50.0,50.0,0.0,50.0,50.0
187,187,"bah attends maintenant je vais aller changer les bébés ...
oui mais il faut que moi j'amène ...
comme ça ils sont tout prorpres .",50.0,50.0,0.0,50.0,50.0
188,188,"la petite fille à l'école .
voilà je vais changer ...
allez viens !",50.0,50.0,0.0,50.0,50.0
189,189,c'est dejà l'heure d'amener la grande à l'école eh bisous hein ma chérie smack@o !,50.0,50.0,0.0,50.0,50.0
190,190,"bisous smack@o .
travaille bien !",50.0,50.0,0.0,50.0,50.0
191,191,travaille bien .,50.0,50.0,0.0,50.0,50.0
192,192,"alors on va en remettre un au dodo comme ça il est changé il a mangé ...
allez tu vas au travail smack@o et voilà .
oh il sont fatigués quand ils sont petits comme ça regarde .",50.0,50.0,0.0,50.0,50.0
193,193,hop !,50.0,50.0,0.0,50.0,50.0
194,194,"hop !
xxx .
au dodo !",50.0,50.0,0.0,50.0,50.0
195,195,eh tu laisses jouer le petit un petit peu !,50.0,50.0,0.0,50.0,50.0
196,196,allez je vais aller la chercher .,50.0,50.0,0.0,50.0,50.0
197,197,c'est le papa qui va à l'école maintenant .,50.0,50.0,0.0,50.0,50.0
198,198,c'est le papa qui va à l'école maintenant ?,50.0,50.0,0.0,50.0,50.0
199,199,"nan il porte son sac .
ah d'accord .",50.0,50.0,0.0,50.0,50.0
200,200,ça y est !,50.0,50.0,0.0,50.0,50.0
201,201,"elle rentre ...
allez je prend des Miel Pops !
pour le goûter ?",50.0,50.0,0.0,50.0,50.0
202,202,"ouais .
allez on va préparer le goûter alors .
tic tic .
tiens miam et voilà .",50.0,50.0,0.0,50.0,50.0
203,203,"même si elle est tombée .
voilà .",50.0,50.0,0.0,50.0,50.0
204,204,elle mange par terre !,50.0,50.0,0.0,50.0,50.0
205,205,allez je pose le sac /.,50.0,50.0,0.0,50.0,50.0
206,206,attends moi je vais je vais aller avec euh la grande elle a fini de prendre le goûter on va aller toutes les deux chez le coiffeur .,50.0,50.0,0.0,50.0,50.0
207,207,on a des cheveux là regarde .,50.0,50.0,0.0,50.0,50.0
208,208,nan !,50.0,50.0,0.0,50.0,50.0
209,209,si regarde bah si on a des cheveux là on va lui changer la coiffure .,50.0,50.0,0.0,50.0,50.0
210,210,hop !,50.0,50.0,0.0,50.0,50.0
211,211,"bah elle a déjà elle a des petit cheveux xxx des grands .
oui mais regarde c'est des grands cheveux pour euh la maman ça va pas sur la tête à la petite fille .
datatata@o !",50.0,50.0,0.0,50.0,50.0
212,212,allez tu viens on va chez le coiffeur ?,50.0,50.0,0.0,50.0,50.0
213,213,nan c'est une coupe de garçon !,50.0,50.0,0.0,50.0,50.0
214,214,ah c'est pas grave !,50.0,50.0,0.0,50.0,50.0
215,215,on va dire que c'est une coupe euh voilà !,50.0,50.0,0.0,50.0,50.0
216,216,nan c'est bon !,50.0,50.0,0.0,50.0,50.0
217,217,on laisse la coupe-là c'est bon !,50.0,50.0,0.0,50.0,50.0
218,218,"on va pas euh elle va pas avoir plus de cheveux à un moment euh ...
ah bah tiens on peut lui essayer .",50.0,50.0,0.0,50.0,50.0
219,219,essaye-voir un petit peu comment que ça lui va xxx c'est une maman !,50.0,50.0,0.0,50.0,50.0
220,220,comment on fait pour mettre une coupe ?,50.0,50.0,0.0,50.0,50.0
221,221,"viens je t'aide .
faut appuyer fort !",50.0,50.0,0.0,50.0,50.0
222,222,Fais voir .,50.0,50.0,0.0,50.0,50.0
223,223,C'est bon ça tient ?,50.0,50.0,0.0,50.0,50.0
224,224,oui !,50.0,50.0,0.0,50.0,50.0
225,225,ah bah nickel !,50.0,50.0,0.0,50.0,50.0
226,226,on peut on peut arrêter est-ce qu'elle peut nous dire c'est quand qu'on peut arrête ?,50.0,50.0,0.0,50.0,50.0
227,227,viens voir essaye voir les cheveux là pour voir on a dit qu'on allait chez le coiffeur xxxx .,50.0,50.0,0.0,50.0,50.0
228,228,mais non mais c'est un coupe de garçon !,50.0,50.0,0.0,50.0,50.0
229,229,xxx aussi !,50.0,50.0,0.0,50.0,50.0
230,230,bon alors on va dire au papa d'aller chez le coiffeur !,50.0,50.0,0.0,50.0,50.0
231,231,"ouais sauf qu'il a les cheveux blonds .
ah ouais et les papas ils font pas trop les couleurs .",50.0,50.0,0.0,50.0,50.0
232,232,ça va pas aller !,50.0,50.0,0.0,50.0,50.0
233,233,"nan les mamans elles font plus les couleurs que les papas .
bon !",50.0,50.0,0.0,50.0,50.0
234,234,bah voilà on revient on va aller un petit peu au parc puis on va promener les enfants ton frère et ta soeur ?,50.0,50.0,0.0,50.0,50.0
235,235,oh il a plus de cheveux !,50.0,50.0,0.0,50.0,50.0
236,236,le papa il a fait la boule à zéro !,50.0,50.0,0.0,50.0,50.0
237,237,tiens vas-y essaye voir la coiffure .,50.0,50.0,0.0,50.0,50.0
238,238,tu veux que je le mette c'est dur hein ?,50.0,50.0,0.0,50.0,50.0
239,239,ah eh allez mets ta coupe !,50.0,50.0,0.0,50.0,50.0
240,240,c'est bon ?,50.0,50.0,0.0,50.0,50.0
241,241,ah !,50.0,50.0,0.0,50.0,50.0
242,242,"allez viens on va prendre les bébés et on va leur faire faire la promenade .
voilà .
allez on pend euh la poussette ah xxx ...
allez vas-y mets les bébés dans la poussette .",50.0,50.0,0.0,50.0,50.0
243,243,"comme ça la petite fille elle va promener son nounours .
on va aller au parc .",50.0,50.0,0.0,50.0,50.0
244,244,ça va être bien on va se promener .,50.0,50.0,0.0,50.0,50.0
245,245,c'est le papa qui pousse ou la maman ?,50.0,50.0,0.0,50.0,50.0
246,246,"papa .
attends regarde il faut le lever il faut le lever Samuel regarde .
ah oui j'ai pas vu .",50.0,50.0,0.0,50.0,50.0
247,247,"voilà c'est ça qui fait que tu peux ...
tatadatadalalala !",50.0,50.0,0.0,50.0,50.0
248,248,aouh@o !,50.0,50.0,0.0,50.0,50.0
249,249,"mais non .
ah j'ai la tête en bas c'est pour ça !",50.0,50.0,0.0,50.0,50.0
250,250,"comme ça on va aller un peu se promener les enfants ils seront contents .
deeuhiheu@o !",50.0,50.0,0.0,50.0,50.0
251,251,han@o les bébés !,50.0,50.0,0.0,50.0,50.0
252,252,xxx la grande ici ?,50.0,50.0,0.0,50.0,50.0
253,253,bon là elle peut pas parce qu'elle pousse son bébé mais tu vois comme toi quand t'étais dans la poussette on avait mis ça pour que ta soeur elle soit devant la poussette tu te rappelles plus t'étais petit .,50.0,50.0,0.0,50.0,50.0
254,254,"nan je suis ri j'étais rikiki mais je sais comment je suis maintenant quand j'étais bébé tout xxx comme ça .
tu te rappelles t'avais une euh y avais une euh ça là sur la poussette ?",50.0,50.0,0.0,50.0,50.0
255,255,Tu te rappelle plus xxx ?,50.0,50.0,0.0,50.0,50.0
256,256,tutulutulu@o !,50.0,50.0,0.0,50.0,50.0
257,257,allez on va promener la papa et /.,50.0,50.0,0.0,50.0,50.0
258,258,nan on rentre !,50.0,50.0,0.0,50.0,50.0
259,259,ah ça y est déjà !,50.0,50.0,0.0,50.0,50.0
260,260,bon alors on rentre alors .,50.0,50.0,0.0,50.0,50.0
261,261,bah oui !,50.0,50.0,0.0,50.0,50.0
262,262,Il fait déjà il est déjà minuit cinq !,50.0,50.0,0.0,50.0,50.0
263,263,oh non il fait pas minuit on est parti après le goûter .,50.0,50.0,0.0,50.0,50.0
264,264,nan on est partis il était vingt heure .,50.0,50.0,0.0,50.0,50.0
265,265,oh non on est partis après le goûter après les Miel Pops de la grande !,50.0,50.0,0.0,50.0,50.0
266,266,"bah oui bah elle a pris deux heures à y manger ...
nan elle a pris six heures .",50.0,50.0,0.0,50.0,50.0
267,267,"bon .
allez on va au bain alors maintenant ?",50.0,50.0,0.0,50.0,50.0
268,268,"allez on va aller faire le bain avec les bébés on va dire que la salle de bain elle est là .
oh ?",50.0,50.0,0.0,50.0,50.0
269,269,"ils vont aller à la salle de bain ...
tiens regarde on dit que c'est là la salle de bain .",50.0,50.0,0.0,50.0,50.0
270,270,"la poussette on va la ranger .
attends les parents ils vont prendre le bain aux enfants dès que les petits il sont sortis ...
oh pourquoi elle s'est cassée ?",50.0,50.0,0.0,50.0,50.0
271,271,maman ?,50.0,50.0,0.0,50.0,50.0
272,272,mmh .,50.0,50.0,0.0,50.0,50.0
273,273,"nan nan regarde c'est juste que ça s'enlève ...
elle s'est cassée la poussette !",50.0,50.0,0.0,50.0,50.0
274,274,nan elle s'est pas cassée chéri .,50.0,50.0,0.0,50.0,50.0
275,275,"tiens regarde tu dois mettre le siège ici et le chapeau du siège au-dessus .
mets déjà le siège Samuel .
aie@o !",50.0,50.0,0.0,50.0,50.0
276,276,"allez mets-toi .
tiens .",50.0,50.0,0.0,50.0,50.0
277,277,c'est bon ?,50.0,50.0,0.0,50.0,50.0
278,278,"oui .
allez mets voir le siège maintenant dessus .",50.0,50.0,0.0,50.0,50.0
279,279,"t'as vu regarde y a une petite barre là .
en dessous y a deux crans tu vois là ça doit sûrement aller dessus .",50.0,50.0,0.0,50.0,50.0
280,280,"nan je l'ai mis à l'envers le truc .
oh bah voilà .
alors .
le papa ...
la maman elle finit d'habiller le bébé le papa il commence à préparer le repas hop !
et la maman elle va aider le papa à préparer le repas à mettre la table et tout ça .
hein Samuel ?",50.0,50.0,0.0,50.0,50.0
281,281,"on va mettre un comme ça ...
oups .",50.0,50.0,0.0,50.0,50.0
